Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
NQ 06-26,Buy,1,12028.50,1/31/2020 2:00:00 PM,NT-00041-263,Exit,-,NT-00044-263,Exit on session close,$0.00,1,Backtest,,
NQ 06-26,Sell,1,12022.50,1/31/2020 10:34:00 AM,NT-00040-263,Entry,1 S,NT-00042-263,ORB_Short,$0.00,1,Backtest,,
NQ 06-26,Sell,1,12090.75,1/30/2020 11:44:00 AM,NT-00039-263,Exit,-,NT-00041-263,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,12080.25,1/30/2020 11:10:00 AM,NT-00038-263,Entry,1 L,NT-00040-263,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Sell,1,12139.50,1/29/2020 10:07:00 AM,NT-00037-263,Exit,-,NT-00039-263,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,12150.00,1/29/2020 9:46:00 AM,NT-00036-263,Entry,1 L,NT-00038-263,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Buy,1,12126.50,1/28/2020 11:15:00 AM,NT-00035-263,Exit,-,NT-00037-263,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Sell,1,12108.50,1/28/2020 9:52:00 AM,NT-00034-263,Entry,1 S,NT-00036-263,ORB_Short,$0.00,1,Backtest,,
NQ 06-26,Sell,1,12003.75,1/27/2020 10:10:00 AM,NT-00033-263,Exit,-,NT-00035-263,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,12023.50,1/27/2020 9:49:00 AM,NT-00032-263,Entry,1 L,NT-00034-263,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Buy,1,12175.50,1/24/2020 12:03:00 PM,NT-00031-263,Exit,-,NT-00033-263,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Sell,1,12177.50,1/24/2020 10:32:00 AM,NT-00030-263,Entry,1 S,NT-00032-263,ORB_Short,$0.00,1,Backtest,,
NQ 06-26,Buy,1,12227.75,1/23/2020 10:52:00 AM,NT-00029-263,Exit,-,NT-00031-263,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Sell,1,12206.25,1/23/2020 9:58:00 AM,NT-00028-263,Entry,1 S,NT-00030-263,ORB_Short,$0.00,1,Backtest,,
NQ 06-26,Sell,1,12230.50,1/22/2020 12:06:00 PM,NT-00027-263,Exit,-,NT-00029-263,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,12254.25,1/22/2020 9:56:00 AM,NT-00026-263,Entry,1 L,NT-00028-263,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Buy,2,12209.75,1/21/2020 10:05:00 AM,NT-00025-263,Exit,-,NT-00027-263,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Sell,2,12205.25,1/21/2020 9:46:00 AM,NT-00024-263,Entry,2 S,NT-00026-263,ORB_Short,$0.00,1,Backtest,,
NQ 06-26,Buy,1,12173.50,1/17/2020 10:21:00 AM,NT-00023-263,Exit,-,NT-00025-263,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Sell,1,12163.50,1/17/2020 9:58:00 AM,NT-00022-263,Entry,1 S,NT-00024-263,ORB_Short,$0.00,1,Backtest,,
NQ 06-26,Buy,1,12115.00,1/16/2020 10:35:00 AM,NT-00021-263,Exit,-,NT-00023-263,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Sell,1,12104.25,1/16/2020 10:16:00 AM,NT-00020-263,Entry,1 S,NT-00022-263,ORB_Short,$0.00,1,Backtest,,
NQ 06-26,Buy,1,12077.50,1/15/2020 11:10:00 AM,NT-00019-263,Exit,-,NT-00021-263,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Sell,1,12078.75,1/15/2020 9:54:00 AM,NT-00018-263,Entry,1 S,NT-00020-263,ORB_Short,$0.00,1,Backtest,,
NQ 06-26,Sell,1,12088.00,1/14/2020 10:37:00 AM,NT-00017-263,Exit,-,NT-00019-263,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,12105.25,1/14/2020 10:09:00 AM,NT-00016-263,Entry,1 L,NT-00018-263,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Sell,1,12122.75,1/13/2020 5:00:00 PM,NT-00015-263,Exit,-,NT-00017-263,Exit on session close,$0.00,1,Backtest,,
NQ 06-26,Buy,1,12086.25,1/13/2020 10:22:00 AM,NT-00014-263,Entry,1 L,NT-00015-263,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Sell,1,12011.50,1/10/2020 11:27:00 AM,NT-00013-263,Exit,-,NT-00014-263,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,12025.00,1/10/2020 9:50:00 AM,NT-00012-263,Entry,1 L,NT-00013-263,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Buy,1,12011.00,1/9/2020 10:52:00 AM,NT-00011-263,Exit,-,NT-00012-263,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Sell,1,11970.00,1/9/2020 9:46:00 AM,NT-00010-263,Entry,1 S,NT-00011-263,ORB_Short,$0.00,1,Backtest,,
NQ 06-26,Sell,1,11967.50,1/8/2020 12:47:00 PM,NT-00009-263,Exit,-,NT-00010-263,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,11958.25,1/8/2020 9:59:00 AM,NT-00008-263,Entry,1 L,NT-00009-263,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Buy,1,11895.75,1/7/2020 10:10:00 AM,NT-00007-263,Exit,-,NT-00008-263,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Sell,1,11882.50,1/7/2020 9:50:00 AM,NT-00006-263,Entry,1 S,NT-00007-263,ORB_Short,$0.00,1,Backtest,,
NQ 06-26,Sell,1,11874.25,1/6/2020 1:08:00 PM,NT-00005-263,Exit,-,NT-00006-263,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,11839.00,1/6/2020 10:03:00 AM,NT-00004-263,Entry,1 L,NT-00005-263,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Sell,1,11852.75,1/3/2020 10:35:00 AM,NT-00003-263,Exit,-,NT-00004-263,Stop loss,$0.00,1,Backtest,,
NQ 06-26,Buy,1,11874.00,1/3/2020 9:52:00 AM,NT-00002-263,Entry,1 L,NT-00003-263,ORB_Long,$0.00,1,Backtest,,
NQ 06-26,Sell,1,11917.00,1/2/2020 5:00:00 PM,NT-00001-263,Exit,-,NT-00002-263,Exit on session close,$0.00,1,Backtest,,
NQ 06-26,Buy,1,11862.00,1/2/2020 11:04:00 AM,NT-00000-263,Entry,1 L,NT-00000-263,ORB_Long,$0.00,1,Backtest,,
