Performance,All trades,Long trades,Short trades,
Total net profit,$16615.00,$6620.00,$9995.00,
Gross profit,$27155.00,$13885.00,$13270.00,
Gross loss,($10540.00),($7265.00),($3275.00),
Commission,$0.00,$0.00,$0.00,
Profit factor,2.58,1.91,4.05,
Max. drawdown,($5400.00),($3820.00),($1695.00),
Sharpe ratio,0.51,0.49,0.54,
Sortino ratio,1.00,6.99,1.00,
Ulcer index,0.01,0.00,0.00,
R squared,0.70,0.45,0.73,
Total Fees,$0.00,$0.00,$0.00,
Probability,2.19%,11.75%,4.31%,
,,,,
Start date,1/1/2025,,,
Start time,12:00 AM,,,
End date,4/14/2026,,,
End time,12:00 AM,,,
,,,,
Total # of trades,34,21,13,
Percent profitable,70.59%,66.67%,76.92%,
# of winning trades,24,14,10,
# of losing trades,10,7,3,
# of even trades,0,0,0,
,,,,
Total slippage,34,21,13,
,,,,
Avg. trade,$488.68,$315.24,$768.85,
Avg. winning trade,$1131.46,$991.79,$1327.00,
Avg. losing trade,($1054.00),($1037.86),($1091.67),
Ratio avg. win / avg. loss,1.07,0.96,1.22,
,,,,
Max. consec. winners,12,9,6,
Max. consec. losers,5,3,2,
Largest winning trade,$4120.00,$3715.00,$4120.00,
Largest losing trade,($1930.00),($1930.00),($1695.00),
,,,,
Avg. # of trades per day,0.93,0.63,0.38,
Avg. time in market,129.68 min,148.00 min,100.08 min,
Avg. bars in trade,120.82,136.52,95.46,
Profit per month,$9561.46,$4206.46,$6096.95,
Max. time to recover,17.04 days,14.88 days,19.99 days,
Longest flat period,3.96 days,4.96 days,8.99 days,
,,,,
Avg. MAE,$645.88,$655.71,$630.00,
Avg. MFE,$1725.29,$1665.71,$1821.54,
Avg. ETD,$1236.62,$1350.48,$1052.69,
